จังหวัด,สำนักงานที่ดิน,รหัสกลุ่มที่ดิน,ราคาซื้อขายในช่วง 0.6 - 0.9 ,หน่วยที่ดินที่,ราคาของหน่วย,ความลึกมาตรฐาน,ประเภท,ราคาประเมินใหม่ของแปลงเซลที่เลือก,AS_Ratio_New,เปอร์เซนต์ความแตกต่างจากราคาตลาด
พัทลุง,เมืองพัทลุง,1,12170,1,11000,40,ดีกว่า,9985,0.820460148,17.95%
พัทลุง,เมืองพัทลุง,1,10058,1,11000,40,ดีกว่า,9570,0.951481408,4.85%
พัทลุง,เมืองพัทลุง,1,11516,1,11000,40,ดีกว่า,8624,0.748871136,25.11%
พัทลุง,เมืองพัทลุง,1,13532,1,11000,40,ดีกว่า,8806,0.650753769,34.92%
พัทลุง,เมืองพัทลุง,1,13874,1,11000,40,ดีกว่า,7754,0.558887127,44.11%
พัทลุง,เมืองพัทลุง,1,12771,1,11000,40,ดีกว่า,9146,0.716153786,28.38%
พัทลุง,เมืองพัทลุง,1,11380,1,11000,40,ดีกว่า,8290,0.728471002,27.15%
พัทลุง,เมืองพัทลุง,1,10682,1,11000,40,ดีกว่า,8588,0.803969294,19.60%
พัทลุง,เมืองพัทลุง,1,22958,2,20000,40,ราคาตลาด,17922,0.780642913,21.94%
พัทลุง,เมืองพัทลุง,1,22510,2,20000,40,ราคาตลาด,14813,0.658063083,34.19%
พัทลุง,เมืองพัทลุง,1,22846,2,20000,40,ราคาตลาด,19863,0.869430097,13.06%
พัทลุง,เมืองพัทลุง,1,24988,2,20000,40,ราคาตลาด,19033,0.761685609,23.83%
พัทลุง,เมืองพัทลุง,1,22994,2,20000,40,ราคาตลาด,19550,0.850221797,14.98%
พัทลุง,เมืองพัทลุง,1,24213,2,20000,40,ราคาตลาด,19864,0.820385743,17.96%
พัทลุง,เมืองพัทลุง,1,23665,2,20000,40,ราคาตลาด,15490,0.654553138,34.54%
พัทลุง,เมืองพัทลุง,1,21641,2,20000,40,ราคาตลาด,19560,0.903839933,9.62%
พัทลุง,เมืองพัทลุง,1,21237,2,20000,40,ราคาตลาด,15701,0.73932288,26.07%
พัทลุง,เมืองพัทลุง,1,24713,2,20000,40,ราคาตลาด,15811,0.639784729,36.02%
พัทลุง,เมืองพัทลุง,1,20705,2,20000,40,ราคาตลาด,16195,0.782178218,21.78%
พัทลุง,เมืองพัทลุง,1,31878,3,28000,40,ด้อยกว่า,25019,0.784835937,21.52%
พัทลุง,เมืองพัทลุง,1,34431,3,28000,40,ด้อยกว่า,23362,0.678516453,32.15%
พัทลุง,เมืองพัทลุง,1,31902,3,28000,40,ด้อยกว่า,27608,0.865400288,13.46%
